code,name,price,change_pct,pe_ttm,pb,mcap_yi
601600,中国铝业,11.81,4.61,13.81,2.51,1555.77
603799,华友钴业,53.58,0.19,13.82,2.05,1011.38
002001,新 和 成,30.25,1.34,13.85,2.85,918.65
600329,达仁堂,39.39,-1.75,13.91,4.03,223.38
603173,福斯达,34.6,-1.73,13.91,2.66,55.36
002379,宏桥控股,21.05,0.43,13.92,5.6,239.21
603713,密尔克卫,56.28,-2.39,13.93,1.87,88.99
600803,新奥股份,19.63,-1.01,13.94,2.51,602.98
600125,铁龙物流,5.76,-1.2,13.95,0.96,75.2
600104,上汽集团,12.28,0.57,13.96,0.47,1411.62
600809,山西汾酒,125.7,-1.9,13.96,3.41,1533.5
600961,株冶集团,25.98,4.17,13.99,5.52,195.32
000513,丽珠集团,30.93,0.1,13.99,1.89,175.73
600346,XD恒力石,17.79,1.83,14.02,1.82,1252.26
603871,嘉友国际,12.38,1.06,14.03,2.69,169.36
600795,国电电力,5.32,1.33,14.06,1.55,948.85
600887,伊利股份,26.86,-0.52,14.06,2.85,1690.55
000915,华特达因,27.8,0.11,14.06,2.19,65.1
600380,健康元,10.12,-1.17,14.08,1.19,185.14
600020,中原高速,4.01,-1.72,14.09,0.76,90.12
301061,匠心家居,41.18,-3.63,14.11,2.75,77.8
002697,红旗连锁,4.85,-2.41,14.14,1.38,55.55
002236,大华股份,16.9,0.3,14.16,1.5,404.1
600933,爱柯迪,15.61,-0.95,14.19,1.64,153.14
000411,英特集团,12.07,-0.66,14.19,1.26,68.04
002468,申通快递,14.76,-2.45,14.2,1.98,216.1
002911,佛燃能源,11.29,-2.42,14.2,3.47,143.05
002939,长城证券,8.33,-1.07,14.2,1.03,300.1
000157,中联重科,7.12,-1.39,14.21,1.06,503.36
601233,桐昆股份,19.84,-0.15,14.22,1.17,471.13
000333,美的集团,82.6,1.1,14.23,2.71,5667.57
002043,兔 宝 宝,12.88,-4.73,14.27,3.35,104.01
002345,潮宏基,9.18,-2.86,14.27,2.2,79.61
601512,中新集团,8.73,-1.36,14.28,0.85,130.85
003013,地铁设计,14.91,0.0,14.29,2.04,59.63
600989,宝丰能源,24.55,-0.32,14.32,3.67,1800.34
002034,旺能环境,20.0,0.0,14.32,1.42,102.91
002299,圣农发展,17.14,-2.34,14.34,1.9,208.93
002928,华夏航空,7.61,-1.3,14.35,2.44,97.27
603939,益丰药房,20.52,-1.96,14.39,2.09,248.78
688009,中国通号,4.96,1.22,14.41,1.1,427.6
300815,玉禾田,20.34,-0.97,14.45,1.72,79.4
601216,君正集团,5.19,-0.38,14.47,1.47,437.93
600618,氯碱化工,10.48,-1.78,14.48,1.27,78.58
600711,盛屯矿业,12.61,3.36,14.49,2.25,389.73
300979,华利集团,35.17,1.01,14.51,2.72,410.43
601333,广深铁路,3.15,1.94,14.52,0.77,178.05
000963,华东医药,29.0,-0.21,14.52,1.98,508.37
688101,三达膜,17.53,-1.85,14.53,1.31,58.2
600648,外高桥,9.72,-0.61,14.54,0.83,110.59
603508,思维列控,22.58,0.22,14.59,2.17,86.09
001965,招商公路,9.94,-0.4,14.59,0.96,675.43
603298,杭叉集团,24.88,-1.43,14.61,2.83,325.88
601995,中金公司,34.3,1.33,14.62,1.61,1002.78
002014,永新股份,10.5,-0.57,14.62,2.68,63.28
002318,久立特材,22.66,-3.82,14.62,2.72,216.33
300415,伊之密,22.22,1.23,14.64,3.07,100.68
605183,确成股份,15.45,-3.38,14.66,1.7,63.72
000951,中国重汽,22.73,4.89,14.68,1.61,265.71
002483,润邦股份,5.94,0.0,14.68,1.14,52.58
605050,福然德,11.08,0.54,14.71,1.22,54.61
002478,常宝股份,7.16,-3.63,14.73,1.06,51.75
603198,迎驾贡酒,36.75,-2.13,14.76,2.56,294.0
603233,大参林,16.67,0.24,14.76,2.47,189.85
600219,南山铝业,5.32,1.33,14.78,1.24,610.93
603259,药明康德,99.75,-0.24,14.79,3.74,2467.1
601199,江南水务,5.71,-2.89,14.8,1.14,53.4
300043,星辉娱乐,4.77,-2.85,14.8,3.32,59.32
600270,外运发展,20.99,0.0,14.81,2.25,190.06
000900,现代投资,3.86,-1.03,14.85,0.54,58.58
002020,京新药业,13.12,-2.6,14.87,1.85,94.98
600295,鄂尔多斯,13.62,-0.73,14.89,1.7,269.07
002120,韵达股份,6.87,-1.58,14.89,0.94,193.4
002293,罗莱生活,9.9,-0.8,14.89,2.07,81.87
600566,济川药业,28.13,1.44,14.92,1.73,258.39
603612,索通发展,21.3,2.11,14.97,1.8,106.1
002444,巨星科技,32.18,-0.37,14.99,2.01,369.02
002701,奥瑞金,5.04,-0.98,15.01,1.26,128.89
300181,佐力药业,13.92,-1.9,15.01,3.07,83.93
600300,维维股份,3.23,-2.42,15.02,1.48,52.23
601801,皖新传媒,5.76,-1.2,15.04,0.93,112.78
002961,瑞达期货,21.13,-2.63,15.05,2.52,100.78
301219,腾远钴业,77.68,1.5,15.08,2.32,163.45
002563,森马服饰,5.54,-1.77,15.09,1.32,122.27
601975,招商南油,4.71,-4.85,15.11,1.86,220.44
603680,今创集团,11.98,-1.24,15.11,1.6,93.89
600079,ST人福,17.63,-0.79,15.12,1.48,272.06
002039,黔源电力,22.55,-0.31,15.12,2.21,96.41
600662,外服控股,4.5,-1.96,15.16,1.9,102.44
601965,中国汽研,15.92,0.7,15.21,2.0,158.95
603111,康尼机电,6.3,-0.63,15.24,1.32,53.73
603055,台华新材,8.57,-2.39,15.26,1.41,76.02
605305,XD中际联,40.3,-0.59,15.28,2.87,85.65
600317,营口港,2.6,0.0,15.36,1.3,168.3
002533,金杯电工,12.48,-2.04,15.39,2.19,79.58
001286,陕西能源,13.12,-4.58,15.4,1.79,177.12
002517,恺英网络,15.62,-2.86,15.41,3.22,295.08
002352,顺丰控股,34.9,-0.65,15.42,1.79,1664.73
603367,辰欣药业,13.92,-1.28,15.43,1.0,63.02
603515,欧普照明,18.91,1.12,15.44,1.97,139.24
603100,川仪股份,19.33,-1.88,15.47,2.12,98.88
603128,华贸物流,5.47,-0.73,15.47,1.13,71.6
300428,立中集团,20.82,-0.53,15.47,1.57,124.25
002233,塔牌集团,8.13,-0.97,15.5,0.82,95.39
603369,今世缘,29.19,-2.57,15.52,2.03,363.94
600886,国投电力,14.46,-0.34,15.57,1.68,1077.87
000792,盐湖股份,30.35,-0.1,15.57,3.59,1605.98
300360,炬华科技,14.75,-1.4,15.57,1.78,73.79
603599,广信股份,11.18,-1.67,15.58,1.0,101.77
688526,科前生物,13.06,-1.58,15.62,1.52,60.88
001914,招商积余,9.94,-1.29,15.67,0.96,104.74
600660,福耀玻璃,54.24,3.35,15.74,3.93,1086.42
002734,利民股份,16.69,1.15,15.76,2.04,72.49
600582,天地科技,5.5,-0.54,15.77,0.87,227.62
000088,盐 田 港,4.48,-0.44,15.79,1.27,141.7
002432,九安医疗,77.79,0.0,15.8,1.68,361.94
600415,小商品城,12.66,-2.31,15.81,2.91,694.22
601225,陕西煤业,26.37,-1.49,15.81,2.5,2556.57
601872,招商轮船,15.49,-0.26,15.81,2.78,1250.75
002437,誉衡药业,2.92,-2.34,15.82,2.73,61.32
600004,白云机场,8.23,-0.84,15.83,1.0,194.78
603568,伟明环保,14.95,-2.61,15.84,2.15,306.24
600285,羚锐制药,22.05,0.68,15.85,3.43,124.77
000791,甘肃能源,10.08,4.67,15.88,2.21,195.11
002984,森麒麟,14.93,-2.1,15.9,1.14,106.59
600674,川投能源,15.44,-1.91,15.92,1.62,752.64
601886,江河集团,8.69,-1.81,15.92,1.4,98.46
603153,上海建科,14.42,-2.3,15.92,1.52,58.23
002284,亚太股份,11.47,-0.35,15.93,2.42,83.98
600050,中国联通,4.42,0.45,15.96,0.81,1369.78
605507,国邦医药,15.64,-1.2,15.96,1.46,122.36
000957,中通客车,10.3,-1.15,15.96,1.89,61.07
601377,兴业证券,5.81,0.69,15.98,0.89,501.75
002448,中原内配,13.5,-0.3,15.99,2.02,78.37
600941,中国移动,100.42,1.54,16.02,1.53,906.56
603588,高能环境,12.79,3.4,16.02,1.93,194.82
603899,晨光股份,23.13,-0.47,16.02,2.44,213.02
600578,京能电力,8.49,0.59,16.03,2.25,568.37
301004,嘉益股份,38.16,-2.3,16.05,3.1,51.94
002244,滨江集团,10.07,-4.46,16.06,1.03,277.69
601633,长城汽车,17.04,0.29,16.09,1.65,1058.06
600012,皖通高速,17.6,3.53,16.14,2.25,205.15
600170,上海建工,2.58,-0.39,16.17,0.73,229.26
688578,艾力斯,86.88,-2.61,16.19,5.23,390.96
600607,上实医药,23.52,0.0,16.21,3.74,86.51
600216,浙江医药,12.7,-1.47,16.26,1.09,120.83
601788,光大证券,14.37,0.35,16.27,1.07,561.39
002997,瑞鹄模具,31.18,0.45,16.27,2.53,65.27
002073,软控股份,5.7,-1.72,16.33,0.92,57.8
300446,航天智造,16.08,-1.35,16.33,2.25,60.07
601808,中海油服,13.07,-0.15,16.37,1.31,386.93
600028,中国石化,4.82,-1.03,16.4,0.7,4567.07
000895,双汇发展,24.93,-0.4,16.42,4.34,863.63
603043,广州酒家,14.15,-1.26,16.43,2.14,79.8
601878,浙商证券,9.38,-0.42,16.45,1.14,429.02
603194,中力股份,34.98,0.55,16.52,2.54,55.28
600587,新华医疗,13.37,-1.69,16.55,1.03,81.11
600166,福田汽车,3.0,0.67,16.61,1.48,237.52
000755,山西高速,5.35,0.56,16.69,1.39,78.5
000538,云南白药,49.46,-0.72,16.79,2.25,876.89
688425,铁建重工,4.41,-1.56,16.81,1.25,235.21
600426,华鲁恒升,29.69,-0.37,16.86,1.85,627.96
600179,安通控股,4.39,-1.35,16.91,1.53,169.55
002895,川恒股份,34.8,-2.38,16.91,3.01,207.05
603733,仙鹤股份,24.57,0.99,16.93,1.98,173.89
002267,陕天然气,7.58,-1.69,16.99,1.2,84.3
600267,海正药业,9.98,-1.67,17.04,1.34,119.64
601966,玲珑轮胎,12.18,0.5,17.05,0.78,178.25
002959,小熊电器,37.45,-0.95,17.05,2.03,56.37
002673,西部证券,6.67,-0.3,17.06,0.98,298.12
000567,海德股份,6.18,-1.9,17.07,2.01,120.42
600686,金龙汽车,13.63,0.59,17.1,2.69,97.73
000581,威孚高科,19.25,0.0,17.1,0.92,152.83
600350,山东高速,11.46,-1.38,17.13,1.81,554.04
600480,凌云股份,10.85,-1.27,17.15,1.61,131.6
000778,新兴铸管,4.36,-2.02,17.15,0.65,169.76
301039,中集车辆,8.07,-0.98,17.15,1.03,117.21
601038,一拖股份,12.91,-0.69,17.17,1.76,94.46
300850,新强联,33.05,-2.51,17.17,1.95,99.41
000425,徐工机械,9.67,-1.43,17.19,1.82,867.58
603379,三美股份,61.05,-0.6,17.2,4.32,372.7
002539,云图控股,12.49,-0.48,17.2,1.55,111.14
600251,冠农股份,10.07,-1.56,17.21,1.94,78.24
603766,隆鑫通用,13.55,4.88,17.26,3.23,278.25
601702,华峰铝业,20.39,0.64,17.28,3.05,203.6
002605,姚记科技,19.3,-1.53,17.29,2.07,65.28
600420,国药现代,9.27,0.0,17.3,0.89,124.33
601200,上海环境,7.76,-1.02,17.32,0.88,104.47
002833,弘亚数控,18.11,-3.21,17.32,2.81,52.2
600739,辽宁成大,10.71,-1.38,17.34,0.55,163.04
002375,亚厦股份,4.26,-2.96,17.36,0.69,56.7
000596,古井贡酒,93.05,-1.94,17.4,1.88,380.2
000975,山金国际,23.04,1.5,17.4,4.31,581.35
603605,珀莱雅,64.88,-3.35,17.43,4.04,256.91
601949,中国出版,5.27,-1.5,17.44,1.01,100.34
603456,九洲药业,12.78,-0.08,17.44,1.28,113.67
600196,复星医药,22.72,-1.17,17.45,1.23,481.32
603855,华荣股份,18.02,-0.17,17.47,2.71,60.46
603013,亚普股份,19.32,-1.83,17.5,2.2,98.19
002003,伟星股份,9.39,0.97,17.52,2.66,95.98
601022,宁波远洋,8.29,-2.93,17.54,1.73,108.49
002032,苏 泊 尔,46.17,-0.02,17.54,8.01,369.12
603658,安图生物,31.81,-1.0,17.57,2.16,181.77
002602,世纪华通,14.98,-1.51,17.57,3.47,1018.16
002275,桂林三金,13.57,-1.09,17.61,2.4,75.6
002507,涪陵榨菜,11.74,-1.51,17.63,1.54,135.1
003012,东鹏控股,5.07,-1.74,17.65,0.81,57.52
601021,春秋航空,47.35,-2.13,17.66,2.49,463.24
600909,华安证券,7.11,-1.66,17.71,1.35,357.22
002752,昇兴股份,6.64,-2.64,17.73,1.81,64.77
600993,马应龙,24.32,0.12,17.75,2.28,104.65
603279,景津装备,14.72,-1.87,17.78,1.9,84.84
600600,青岛啤酒,61.01,-0.75,17.79,2.57,432.64
601728,中国电信,6.16,1.82,17.8,1.2,4781.99
300435,中泰股份,18.13,-2.53,17.81,2.08,66.88
000682,东方电子,13.66,-4.81,17.83,2.98,183.13
000422,湖北宜化,14.06,-2.36,17.85,2.46,148.73
600817,宇通重工,10.11,-2.22,17.86,2.07,53.51
600309,万华化学,75.16,-0.91,17.88,2.19,2352.86
600489,中金黄金,23.18,2.75,17.9,3.43,1123.61
